form_year,line_number,label,total,program_service,management_and_general,fundraising
2019,7,Other salaries and wages,8303671,4780896,2714502,808273
2019,9,Other employee benefits,1765251,977419,607070,180762
2019,10,Payroll taxes,678950,375935,233491,69524
2019,11b,Legal fees,233849,34351,199498,
2019,11c,Accounting fees,67387,,67387,
2019,11e,Professional fundraising services,751247,,,751247
2019,11g,Other fees for services,667318,664078,3240,
2019,12,Advertising and promotion,244712,,35145,209567
2019,13,Office expenses,112712,64142,47494,1076
2019,14,Information technology,444096,139750,227038,77308
2019,16,Occupancy,1292705,1237490,51349,3866
2019,17,Travel,77760,69088,2868,5804
2019,19,"Conferences, conventions, and meetings",219985,,219985,
2019,22,"Depreciation, depletion, and amortization",1017690,874339,128832,14519
2019,23,Insurance,82310,44678,37632,
2019,24a,Food,97809886,97809886,,
2019,24b,Transportation,662159,662159,,
2019,24c,Fundraising,57452,,,57452
2019,24d,Service Delivery,919481,865708,53773,
2019,24e,All other expenses,416257,17678,398579,
2019,25,Total functional expenses,115824878,108617597,5027883,2179398
2020,7,Other salaries and wages,11525061,7232663,3107225,1185173
2020,9,Other employee benefits,2055675,1207726,597407,250542
2020,10,Payroll taxes,820843,482252,238548,100043
2020,11c,Accounting fees,76282,,76282,
2020,11e,Professional fundraising services,1067763,,,1067763
2020,11g,Other fees for services,3085428,2192327,742028,151073
2020,12,Advertising and promotion,241683,,31044,210639
2020,13,Office expenses,127797,87331,30332,10134
2020,14,Information technology,499085,162615,285607,50863
2020,16,Occupancy,1317407,1249304,61302,6811
2020,17,Travel,27524,26590,35,899
2020,19,"Conferences, conventions, and meetings",550124,515518,26260,8346
2020,22,"Depreciation, depletion, and amortization",1081978,1024511,51720,5747
2020,23,Insurance,101792,98712,2772,308
2020,24a,Food,98975790,98975790,,
2020,24b,Transportation,683161,683161,,
2020,24c,Fundraising,73595,,,73595
2020,24d,Service Delivery,1051670,1044170,7500,
2020,24e,All other expenses,369837,327,369510,
2020,25,Total functional expenses,123732505,114982997,5627572,3121936
2021,7,Other salaries and wages,11403236,6953508,3192962,1256766
2021,8,Pension plan accruals and contributions,749821,421279,233990,94552
2021,9,Other employee benefits,1492298,838432,465687,188179
2021,10,Payroll taxes,822180,461933,256570,103677
2021,11c,Accounting fees,80591,,80591,
2021,11e,Professional fundraising services,1229765,,,1229765
2021,11g,Other fees for services,2804819,1549054,1114159,141606
2021,12,Advertising and promotion,653801,,488181,165620
2021,13,Office expenses,137805,97682,32393,7730
2021,14,Information technology,686477,213459,335981,137037
2021,16,Occupancy,1258092,1182311,68205,7576
2021,17,Travel,63934,61082,1599,1253
2021,19,"Conferences, conventions, and meetings",228733,135564,77242,15927
2021,22,"Depreciation, depletion, and amortization",1097965,1040273,51923,5769
2021,23,Insurance,102360,97221,4625,514
2021,24a,Food,94074670,94074670,,
2021,24b,Transportation,774370,774370,,
2021,24c,Fundraising,90903,,,90903
2021,24d,Service Delivery,1133587,1124347,9240,
2021,24e,All other expenses,14150,13685,465,
2021,25,Total functional expenses,118899557,109038870,6413813,3446874
2022,5,"Compensation of current officers, directors, trustees, and key employees",1699309,1189454,207439,302416
2022,7,Other salaries and wages,10009823,6379866,2744810,885147
2022,8,Pension plan accruals and contributions,838526,523429,224495,90602
2022,9,Other employee benefits,1510694,943012,404452,163230
2022,10,Payroll taxes,883320,551390,236488,95442
2022,11c,Accounting fees,87348,,87348,
2022,11e,Professional fundraising services,1223654,,,1223654
2022,11g,Other fees for services,2250911,906374,1188063,156474
2022,12,Advertising and promotion,633417,,534669,98748
2022,13,Office expenses,135614,90047,40749,4818
2022,14,Information technology,595216,198714,243230,153272
2022,16,Occupancy,1712230,1608006,93802,10422
2022,17,Travel,106302,100779,3082,2441
2022,19,"Conferences, conventions, and meetings",277003,139299,123338,14366
2022,22,"Depreciation, depletion, and amortization",1191819,1127940,42731,21148
2022,23,Insurance,42342,42342,,
2022,24a,Food,98804335,98804335,,
2022,24b,Service Delivery,1496376,1496376,,
2022,24c,Transportation,930254,930254,,
2022,24d,Fundraising,169326,,,169326
2022,24e,All other expenses,190139,2447,187692,
2022,25,Total functional expenses,124787958,115034064,6362388,3391506
2023,5,"Compensation of current officers, directors, trustees, and key employees",1864848,228833,1521598,114417
2023,7,Other salaries and wages,10438376,7526337,1774146,1137893
2023,8,Pension plan accruals and contributions,943298,590936,255185,97177
2023,9,Other employee benefits,1699204,1029062,483854,186288
2023,10,Payroll taxes,918164,562885,256787,98492
2023,11c,Accounting fees,90416,,90416,
2023,11e,Professional fundraising services,1325809,,,1325809
2023,11g,Other fees for services,1302730,147847,983145,171738
2023,12,Advertising and promotion,160610,,25911,134699
2023,13,Office expenses,240902,145749,87335,7818
2023,14,Information technology,860218,136204,581439,142575
2023,16,Occupancy,2060149,1950454,98726,10969
2023,17,Travel,169316,131497,29544,8275
2023,19,"Conferences, conventions, and meetings",260505,139178,104811,16516
2023,22,"Depreciation, depletion, and amortization",1447173,1383103,42903,21167
2023,23,Insurance,71236,71236,,
2023,24a,Food,107214002,107214002,,
2023,24b,Service Delivery,1709416,1709416,,
2023,24c,Fundraising,116418,,,116418
2023,24d,Transportation,1061529,1061529,,
2023,24e,All other expenses,521010,10307,510703,
2023,25,Total functional expenses,134475329,124038575,6846503,3590251